ST_NAME,TS_NAME,CP_NAME,ROC2014-15,ROCP2014-15,R2014-15,ROY2014-15,ROC2015-16,ROCP2015-16,R2015-16,ROY2015-16,ROC2016-17,ROCP2016-17,R2016-17,ROY2016-17,ROC2017-18,ROCP2017-18,R2017-18,ROY2017-18,ROC2018-19,ROCP2018-19,R2018-19,ROY2018-19
Shan,Taunggyi,Groundnut,1549,1549,45.64,70691,1496,1496,45.63,68266,1338,1338,46,61551,1341,1341,46,61688,1257,1257,45.59,57340
Shan,Kyauktalonegyi,Groundnut,2957,2957,49.25,145638,2970,2970,48.97,145436,3118,3118,48.77,152065,3025,3025,48.83,147710,3070,3070,48.63,149940
Shan,Hopong,Groundnut,2854,2854,47.66,136024,3618,3618,47.67,172469,3546,3546,48.25,171090,3698,3698,48.12,177942,3181,3181,48.45,153137
Shan,Nyaungshwe,Groundnut,3296,3296,46.55,153429,3316,3316,46.52,154260,3316,3316,46.52,154260,3351,3351,46.45,155656,3351,3268,46.3,151309
Shan,His Hseng,Groundnut,4982,4982,47.01,234223,4982,4982,47.02,234272,4982,4982,47.04,234367,932,932,251.64,234527,4982,4982,47.1,234646
Shan,Kalaw,Groundnut,2933,2933,48.5,142250,2932,2932,48.75,142930,2932,2932,48.75,142930,3084,3084,48.5,149575,3083,3083,48.75,150295
Shan,Pindaya,Groundnut,1768,1768,44.7,79025,1807,1807,44.87,81078,1797,1797,44.86,80622,1773,1773,46.11,81752,1836,1836,45.05,82719
Shan,Ywangan,Groundnut,1689,1689,46.85,79130,1713,1713,46.84,80237,1713,1713,46.84,80237,2046,2046,44.1,90229,2152,2152,46.01,94795
Shan,Lawksawk,Groundnut,1921,1921,46.48,89292,1921,1921,46.63,89571,2021,2021,44.18,89292,2021,2021,44.85,90635,2017,2017,45.08,90638
Shan,Intaw,Groundnut,4133,4133,45.49,187993,4199,4199,45.71,191934,3946,3946,45.74,180503,3714,3714,45.21,167897,4829,4839,43.46,218135
Shan,Pinlaung,Groundnut,2301,2301,44.88,103268,2302,2302,44.9,103358,2305,2305,44.9,103506,2220,2220,44.69,99221,2222,2222,42.44,99336
Shan,Naungtayar,Groundnut,2970,2970,42.78,127054,2973,2973,42.54,126480,2929,2929,42.54,124614,2925,2925,42.39,124005,2905,2905,42.7,123295
Shan,Pekon,Groundnut,3322,3322,42.43,140949,3320,3320,42.45,140945,3320,3320,42.45,140950,3320,3320,42.46,140961,3318,3318,42.7,141679
Shan,Loilen,Groundnut,117,117,50.55,5914,117,117,50.55,5914,117,117,50.55,5914,117,117,50.55,5914,107,107,50.55,5914
Shan,Pinlon,Groundnut,62,62,46.24,2867,62,62,46.24,2867,62,62,46.31,2871,62,62,46.34,2873,62,62,45.76,2837
Shan,Laihka,Groundnut,1461,1461,45.41,66339,647,647,44.5,28794,658,658,44.5,29284,658,658,44.51,29288,658,658,44.51,29288
Shan,Namsang,Groundnut,833,833,46.58,38805,836,836,46.55,38919,833,833,46.57,38796,857,857,46.58,39923,857,857,46.58,39923
Shan,Ko Lam,Groundnut,443,443,48.44,21461,443,443,48.41,21447,446,446,48.42,21594,448,448,48.32,21648,448,448,48.33,21650
Shan,Kunhing,Groundnut,1034,1034,55.6,57490,1034,1034,55.73,57621,1049,1049,55.71,58440,1049,1049,62.82,65899,1049,1049,62.84,65924
Shan,Kar Li,Groundnut,1498,1498,55.76,83526,1498,1498,55.95,83816,1482,1482,56.06,83075,1482,1482,59.02,87469,1482,1482,59.1,87585
Shan,Kyethi,Groundnut,3938,3938,49.03,193085,4018,4018,49.04,197045,4168,4168,49.05,204443,4179,4179,49.1,205177,4179,4179,49.1,205177
Shan,Mongnawing,Groundnut,3840,3840,53.05,303712,3790,3790,52.1,197459,3800,3800,52.13,198100,3800,3800,52.2,198360,3800,3800,52.2,198365
Shan,Mong Kung,Groundnut,3080,3080,48.59,149662,3284,3284,48.57,159488,3286,3286,48.54,159500,3286,3286,48.15,158227,3286,3286,48.2,158398
Shan,Mong Hsu,Groundnut,3942,3942,47.55,187442,4022,4022,47.56,191267,4234,4234,47.58,201469,3234,3234,62.3,201470,4232,4232,47.6,201443
Shan,Mongsan,Groundnut,394,394,45.98,18116,394,394,45.98,18116,394,394,46.28,18236,394,394,46.28,18236,394,394,46.38,18274
Shan,Langkho,Groundnut,2085,2085,50.09,104437,2095,1373,49.33,67729,2125,2125,49.71,105628,2130,2130,49.73,105922,2125,2125,49.59,104390
Shan,Homein,Groundnut,104,104,41.93,4361,103,96,39.37,4055,103,96,39.37,4055,103,103,45.3,4666,103,103,45.3,4666
Shan,Mongnai,Groundnut,1100,1100,54.62,60083,1160,1085,51.07,59241,946,1085,62.62,59241,949,949,55.69,52848,805,805,55.73,44863
Shan,Keng Taung,Groundnut,410,410,47.1,19311,410,410,47.27,19381,410,410,47.27,19381,375,375,47.29,17732,267,267,47.31,12632
Shan,Mawkmai,Groundnut,3681,3681,48.16,177274,3695,3475,48.17,167389,3687,3687,48.81,179946,3691,3691,48.86,180340,3683,3683,49.22,181288
Shan,Mongpan,Groundnut,1108,1108,52.6,58284,1094,1094,54.27,59375,1094,1094,54.27,59375,1094,1094,61.37,67141,1094,1094,61.38,67150
Shan,Lashio,Groundnut,2825,2825,62.89,177676,2665,2665,62.82,167408,2783,2783,62.64,174332,388,388,62.75,24347,2395,2395,60.65,145248
Shan,Hseni,Groundnut,110,110,62.69,6896,116,116,62.75,7279,90,90,62.8,5652,,,,,60,60,38.68,2321
Shan,Tangyan,Groundnut,5482,5482,63.18,346353,5242,5242,63.36,332134,5212,5212,63.15,329139,,,,,5245,5245,63.05,330697
Shan,Mongyai,Groundnut,2595,2595,60.5,156998,2610,2610,60.76,158584,2630,2630,60.7,159641,,,,,2137,2137,61.25,130891
Shan,Muse,Groundnut,1954,1954,55.75,108930,1972,1972,56.2,110834,1564,1564,49.18,76919,780,780,66.71,52034,1410,1410,51.15,72119
Shan,Namhkan,Groundnut,916,916,70.03,64151,849,849,71.67,60849,628,628,72.32,45415,210,210,73.85,15508,247,247,71.56,17675
Shan,Kutkai,Groundnut,2418,2418,57.17,138246,2418,2418,57.31,138579,2418,2418,57.33,138622,470,470,68.89,32376,2063,2063,53.29,109940
Shan,Kyaukme,Groundnut,2227,2227,50.42,112284,2332,2332,50.5,117766,2078,2078,50.35,104627,,,,,1798,1798,50.35,90529
