NO,REGION,YEAR,KINDS,CROPS,SEASON,IP_ACRE,IY_PERCENT,IY_TIN,P_ACRE,H_ACRE,Y_PERCENT,Y_TIN
1,Mandalay,2017-2018,Paddy,Paddy,Rain,596519,82.52,49224364,567334,565339,80.4,45451234
2,Mandalay,2017-2018,Paddy,Paddy,Hot,167311,101.24,16938032,172197,172197,100.18,17249973
3,Mandalay,2017-2018,Wheat,Wheat,Cold,21104,25.61,540529,6501,6501,25.33,164654
4,Mandalay,2017-2018,Hnamca_praung,Hnamca_praung,,144176,11.83,1706226,148971,148970,11.55,1720999
5,Mandalay,2017-2018,Maize,Zea_maize,Rain,10549,51.12,539275,14453,14446,56.84,821146
6,Mandalay,2017-2018,Maize,Zea_maize,Cold,27571,64.64,1782113,23033,23033,65.37,1505650
7,Mandalay,2017-2018,Bean,Green_gram,Rain,283433,11.03,3126294,289086,288422,11.47,3309505
8,Mandalay,2017-2018,Bean,Green_gram,Cold,41158,12.98,534412,25157,25157,13.22,332654
9,Mandalay,2017-2018,Bean,Pigeon_pea,Rain,476611,13.74,6550715,488925,48886,12.48,6100499
10,Mandalay,2017-2018,Bean,Black_gram,Rain,151,11.73,1771,579,579,11.96,6927
11,Mandalay,2017-2018,Bean,Black_gram,Cold,9466,12.29,116323,5791,5791,12.3,71206
12,Mandalay,2017-2018,Bean,Chili_bean,Cold,0,0,0,6811,6811,22.22,151315
13,Mandalay,2017-2018,Bean,Gram,Cold,255093,15.95,4068804,245961,245864,14.76,3628123
14,Mandalay,2017-2018,Bean,Marrow_pea,Cold,1584,9.47,15008,1880,1880,12.83,24129
15,Mandalay,2017-2018,Bean,Rice_bean,Cold,31251,16.27,508544,27031,27031,15.62,422231
16,Mandalay,2017-2018,Bean,Soy_bean,Rain,466,8.78,4092,566,566,8.68,4913
17,Mandalay,2017-2018,Bean,Soy_bean,Cold,30522,13.26,404612,25836,25836,13.13,339115
18,Mandalay,2017-2018,Bean,Pelun,Rain,4662,9.06,42256,3666,3666,8.19,30039
19,Mandalay,2017-2018,Bean,Pelun,Cold,24421,11.58,282829,21492,21492,11.74,252314
20,Mandalay,2017-2018,Bean,Lima_bean,Rain,32482,10.32,335375,18357,18357,9.85,180850
21,Mandalay,2017-2018,Bean,Lima_bean,Cold,32765,13.86,454202,30931,30931,12.86,397694
22,Mandalay,2017-2018,Bean,Red_phaseolus,Rain,3185,7.3,23238,2954,2954,8.14,24034
23,Mandalay,2017-2018,Bean,Red_phaseolus,Cold,5891,10.49,61783,5760,5760,10.37,59726
24,Mandalay,2017-2018,Bean,Blue_phaseolus,Rain,17881,13.87,247973,15026,15026,13.6,204397
25,Mandalay,2017-2018,Bean,Blue_phaseolus,Cold,16053,14.52,233142,12895,12895,14.35,185071
26,Mandalay,2017-2018,Bean,Kidney_bean,Rain,2730,9.72,26545,2692,2692,9.49,25548
27,Mandalay,2017-2018,Bean,Kidney_bean,Cold,25035,12.7,317986,20437,20437,13.07,267075
28,Mandalay,2017-2018,Bean,Lime_bean,Rain,2290,11.49,26317,409,409,9.75,3988
29,Mandalay,2017-2018,Bean,Lime_bean,Cold,17247,11.5,198312,14144,14144,11.38,160943
30,Mandalay,2017-2018,Bean,Mung_bean,Rain,81077,8.03,651226,58179,58179,7.35,427648
31,Mandalay,2017-2018,Bean,Mung_bean,Cold,3578,8.62,30825,327,327,6.21,2032
32,Mandalay,2017-2018,Bean,White_bean,Cold,3208,14.21,45586,3140,3140,14.07,44192
33,Mandalay,2017-2018,Bean,Cow_pea,Cold,910,12.21,11107,819,819,13,10644
34,Mandalay,2017-2018,Bean,Other_bean,Rain,37802,10.9,412095,39703,39690,10.98,435702
35,Mandalay,2017-2018,Bean,Other_bean,Cold,114136,12.71,1451022,102587,102587,13.59,1394066
36,Mandalay,2017-2018,Oil_seed,Ground_nut,Rain,249396,44.27,11040260,362590,362487,43.39,15729871
37,Mandalay,2017-2018,Oil_seed,Ground_nut,Cold,125813,55.86,7027972,113654,113654,55.91,6354833
38,Mandalay,2017-2018,Oil_seed,Sesamum,Rain,944778,4.98,4707721,948898,948793,4.98,4725021
39,Mandalay,2017-2018,Oil_seed,Sesamum,Cold,94867,8.36,792957,77197,77197,8.41,649005
40,Mandalay,2017-2018,Oil_seed,Sesamum,Hot,76396,15.02,1147091,90505,88016,14.07,1238394
41,Mandalay,2017-2018,Oil_seed,Sunflower,Rain,47367,24.04,1138667,35402,35395,13.9,846010
42,Mandalay,2017-2018,Oil_seed,Sunflower,Cold,149956,26.49,3972918,102310,102310,27.46,1809343
43,Mandalay,2017-2018,Oil_seed,Flower_sesamum,,10344,6.87,71038,8177,8177,6.69,54664
44,Mandalay,2017-2018,Oil_seed,Oil_chinese_cabbage,,1533,6.47,9923,1423,1423,6.65,9457
45,Mandalay,2017-2018,Kitchen_crop,Wet_chili,Rain,892,460.17,410468,1202,1202,432.47,519833
46,Mandalay,2017-2018,Kitchen_crop,Wet_chili,Cold,1408,482.87,679882,1247,1247,500.64,624299
47,Mandalay,2017-2018,Kitchen_crop,Dry_chili,Rain,111314,241.21,16849522,111407,110815,259.13,28716014
48,Mandalay,2017-2018,Kitchen_crop,Dry_chili,Cold,7773,286.57,2227528,5589,5589,367.6,2054493
49,Mandalay,2017-2018,Kitchen_crop,Onion,Rain,6297,2251.12,14175285,5869,5867,2077.2,12186930
50,Mandalay,2017-2018,Kitchen_crop,Onion,Cold,80689,3245.52,261877405,66264,66093,3147.63,208036003
51,Mandalay,2017-2018,Kitchen_crop,Garlic,Cold,2586,1322.11,3408979,2334,2334,1349.71,3150222
52,Mandalay,2017-2018,Kitchen_crop,Potato,Rain,1160,2465.86,2860393,1242,1242,2444.05,3035508
53,Mandalay,2017-2018,Kitchen_crop,Potato,Cold,789,2624.04,2070364,730,730,2851.7,2081738
54,Mandalay,2017-2018,Vegetable,Vegetable,Rain,45415,1870.73,84959304,53373,52985,2061.8,109244276
55,Mandalay,2017-2018,Vegetable,Vegetable,Cold,71967,2418.87,174078518,66407,66407,2811.63,186711780
56,Mandalay,2017-2018,Cotton,Long_staple_cotton,Rain,193888,428.78,83135219,159931,159665,418.92,6688762
57,Mandalay,2017-2018,Cotton,Mahlaing_cotton,,63225,113.06,7148400,20344,20344,108.08,2198811
58,Mandalay,2017-2018,Cotton,Big_cotton,,2200,112.77,248100,1704,1704,119.52,203656
59,Mandalay,2017-2018,Sugar_cane,Sugar_cane,,31090,23.19,721110,33428,33426,23.02,769488
60,Mandalay,2016-2017,Paddy,Paddy,Rain,602725,82.5,49724810,533493,532835,80.87,43091221
61,Mandalay,2016-2017,Paddy,Paddy,Hot,183222,102.33,18749514,110506,110423,99.71,11010117
62,Mandalay,2016-2017,Wheat,Wheat,Cold,26384,25.17,664038,11396,11396,24.49,279121
63,Mandalay,2016-2017,Hnamca_praung,Hnamca_praung,,143060,11.91,1704229,154475,154457,11.57,1786802
64,Mandalay,2016-2017,Maize,Zea_maize,Rain,8527,47.4,404159,13086,12789,55.68,712089
65,Mandalay,2016-2017,Maize,Zea_maize,Cold,26696,64.58,1723900,21880,21880,64.54,1412149
66,Mandalay,2016-2017,Bean,Green_gram,Rain,290751,12.37,3596589,302656,301873,11.31,3414593
67,Mandalay,2016-2017,Bean,Green_gram,Cold,33879,12.5,423487,26057,26057,12.99,338563
68,Mandalay,2016-2017,Bean,Pigeon_pea,Rain,489873,13.89,6802836,491224,491099,13.06,6414647
69,Mandalay,2016-2017,Bean,Mung_pea,Rain,0,0,0,147,147,11.75,1727
70,Mandalay,2016-2017,Bean,Mung_pea,Cold,9649,12,115829,11127,10811,12.06,130397
71,Mandalay,2016-2017,Bean,Chili_bean,Cold,6917,17.84,123399,6490,5330,22.03,117443
72,Mandalay,2016-2017,Bean,Gram,Cold,196787,15.23,2997060,220915,220915,15.12,3340785
73,Mandalay,2016-2017,Bean,Marrow_pea,Cold,1650,9.2,15173,1632,1202,12.24,14715
74,Mandalay,2016-2017,Bean,Rice_bean,Cold,29407,16.09,473200,27889,27849,15.87,442063
75,Mandalay,2016-2017,Bean,Soy_bean,Rain,622,8.57,5329,481,481,8.76,4213
76,Mandalay,2016-2017,Bean,Soy_bean,Cold,31046,13.24,411006,27186,27160,13.16,357485
77,Mandalay,2016-2017,Bean,Pelun,Rain,4572,9.22,42161,3174,3174,7.91,25093
78,Mandalay,2016-2017,Bean,Pelun,Cold,26233,11.75,308322,21766,21766,11.65,253609
79,Mandalay,2016-2017,Bean,Lima_bean,Rain,32093,10.39,333329,21790,21790,10.51,229120
80,Mandalay,2016-2017,Bean,Lima_bean,Cold,39644,13.89,550726,31658,31658,13.04,412902
81,Mandalay,2016-2017,Bean,Red_phaseolus,Rain,3185,7.31,23297,2505,2505,7.95,19906
82,Mandalay,2016-2017,Bean,Red_phaseolus,Cold,6037,10.42,62910,5958,5958,10.45,62290
83,Mandalay,2016-2017,Bean,Blue_phaseolus,Rain,3833,8.74,33515,2560,2560,8.68,22222
84,Mandalay,2016-2017,Bean,Blue_phaseolus,Cold,20648,14.21,293331,15069,15069,14.08,212149
85,Mandalay,2016-2017,Bean,Kidney_bean,Rain,2440,9.81,23933,2086,2086,8.49,17705
86,Mandalay,2016-2017,Bean,Kidney_bean,Cold,26191,12.41,324951,22088,22088,12.87,284337
87,Mandalay,2016-2017,Bean,Lime_bean,Rain,5819,11.46,66662,280,280,8.48,2374
88,Mandalay,2016-2017,Bean,Lime_bean,Cold,17730,11.38,201721,16691,16691,11.02,183948
89,Mandalay,2016-2017,Bean,Mung_bean,Rain,80129,8,641093,61906,61906,7.74,478993
90,Mandalay,2016-2017,Bean,Mung_bean,Rain,4283,9.43,40373,708,708,6.45,4568
91,Mandalay,2016-2017,Bean,White_bean,Cold,3144,14.02,44079,3063,3063,14.5,44427
92,Mandalay,2016-2017,Bean,Cow_bean,Cold,880,12.05,10606,725,725,12.97,9405
93,Mandalay,2016-2017,Bean,Other_bean,Rain,40740,10.46,426302,37049,37049,10.78,399252
94,Mandalay,2016-2017,Bean,Other_bean,Cold,105101,12.04,1265046,95114,94935,12.2,1158215
95,Mandalay,2016-2017,Oil_seed,Ground_nut,Rain,242611,43.47,10547409,329702,329683,43.91,14475613
96,Mandalay,2016-2017,Oil_seed,Ground_nut,Cold,125462,55.93,7017034,112579,112456,55.86,6281472
97,Mandalay,2016-2017,Oil_seed,Sesamum,Rain,970711,5.05,4904768,915301,914790,4.16,3808967
98,Mandalay,2016-2017,Oil_seed,Sesamum,Cold,100040,8.05,805322,78731,78731,8.4,661350
99,Mandalay,2016-2017,Oil_seed,Sesamum,Hot,80396,14.85,1194011,109260,99488,13.84,1376550
100,Mandalay,2016-2017,Oil_seed,Sunflower,Rain,48774,23.89,1165333,35003,34822,23.18,807057
101,Mandalay,2016-2017,Oil_seed,Sunflower,Cold,159535,26.49,4225703,106017,106017,27.04,2866333
102,Mandalay,2016-2017,Oil_seed,Flower_sesamum,,9961,6.89,68594,13499,13396,5.36,71754
103,Mandalay,2016-2017,Oil_seed,oil_chinese_cabbage,,1522,6.59,10030,1494,1494,6.38,9526
104,Mandalay,2016-2017,Kitchen_crop,Wet_chili,Rain,878,521.56,457933,910,910,452.35,411636
105,Mandalay,2016-2017,Kitchen_crop,Wet_chili,Cold,1157,499.44,577851,1181,1181,490.5,579286
106,Mandalay,2016-2017,Kitchen_crop,Dry_chili,Rain,114014,208.37,23756762,107110,104794,245.16,25691016
107,Mandalay,2016-2017,Kitchen_crop,Dry_chili,Cold,8261,296.29,2447657,5686,5586,330.05,1843675
108,Mandalay,2016-2017,Kitchen_crop,Onion,Rain,6500,2238.89,14552785,6490,6490,2223.99,14433686
109,Mandalay,2016-2017,Kitchen_crop,Onion,Cold,69564,3283,228420384,59775,59768,3337.38,199468470
110,Mandalay,2016-2017,Kitchen_crop,Garlic,Cold,2695,1326.28,3574323,2357,2357,1347.79,3176740
111,Mandalay,2016-2017,Kitchen_crop,Potato,Rain,1206,2453.03,2958359,1294,1294,2358.43,3051805
112,Mandalay,2016-2017,Kitchen_crop,Potato,Cold,792,2582.33,2045203,726,726,2834.58,2057906
113,Mandalay,2016-2017,Vegetable,Vegetable,Rain,45223,2030.17,91810203,47528,47457,2037,96669733
114,Mandalay,2016-2017,Vegetable,Vegetable,Cold,73804,2612.23,192793198,72960,72960,2743.55,200169261
115,Mandalay,2016-2017,Cotton,Long_staple_cotton,Rain,193888,429.95,83362702,145266,145093,417.62,60594312
116,Mandalay,2016-2017,Cotton,Mahlaing_cotton,,63225,114.81,7259150,30060,30060,110.56,3323424
117,Mandalay,2016-2017,Cotton,Big_cotton,,2200,114.07,250950,1455,1455,116.22,169099
118,Mandalay,2016-2017,Sugar_cane,Sugar_cane,,32000,22.17,709500,31096,31096,23.03,716255
119,Mandalay,2015-2016,Paddy,Paddy,Rain,600225,81.71,49044385,460351,460342,81.3,37426650
120,Mandalay,2015-2016,Paddy,Paddy,Hot,182197,97.42,17749636,82680,82110,100.1,8219407
121,Mandalay,2015-2016,Wheat,Wheat,Cold,26178,25.09,656842,19890,19890,26.38,524681
122,Mandalay,2015-2016,Hnamca_praung,Hnamca_praung,,143806,11.91,1712384,153960,153960,11.21,1725426
123,Mandalay,2015-2016,Maize,Zea_maize,Rain,7590,42.26,320727,10758,10755,54.65,587813
124,Mandalay,2015-2016,Maize,Zea_maize,Cold,18292,58.5,1070102,20993,20993,63.63,1335882
125,Mandalay,2015-2016,Bean,Green_gram,Rain,283765,12.17,3452602,297996,297831,10.8,3215785
126,Mandalay,2015-2016,Bean,Green_gram,Cold,32619,12.14,396098,38031,38031,12.91,491017
127,Mandalay,2015-2016,Bean,Pigeon_pea,Rain,481180,13.52,6507471,460818,460818,12.86,5925493
128,Mandalay,2015-2016,Bean,Mung_pea,Rain,0,0,0,151,151,11.73,1771
129,Mandalay,2015-2016,Bean,Mung_pea,Cold,9539,11.95,113995,9730,9730,12.3,119677
130,Mandalay,2015-2016,Bean,Chili_bean,Cold,6809,17.77,120996,4081,4081,18.07,73738
131,Mandalay,2015-2016,Bean,Gram,Cold,205985,14.6,3008035,231295,231295,15.24,3524494
132,Mandalay,2015-2016,Bean,Marrow_pea,Cold,1606,9.11,14629,2078,2078,10.17,21124
133,Mandalay,2015-2016,Bean,Rice_bean,Cold,31587,16.07,507660,30069,30069,15.73,472915
134,Mandalay,2015-2016,Bean,Soy_bean,Rain,697,8.57,5971,560,560,8.8,4929
135,Mandalay,2015-2016,Bean,Soy_bean,Cold,29782,12.89,383791,27183,27183,13.04,354539
136,Mandalay,2015-2016,Bean,Pelun,Rain,4751,9.1,43226,3367,3367,8.1,27260
