NO,REGION,YEAR,KINDS,IP_ACRE,IY_PERCENT,IY_TIN,P_ACRE,H_ACRE,Y_PERCENT,Y_TIN
1,Mandalay,2017-2018,Paddy,763830,86.62,66162396,739531,737536,85.01,62701207
2,Mandalay,2017-2018,Wheat,21104,25.61,540529,6501,6501,25.33,164654
3,Mandalay,2017-2018,Hnamca_praung,144176,11.83,1706226,148971,148970,11.55,1720999
4,Mandalay,2017-2018,Zea_maize,38120,60.9,2321388,37486,37479,62.08,2326796
5,Mandalay,2017-2018,Bean,1539035,12.96,19949252,1458246,1457433,12.56,18311509
6,Mandalay,2017-2018,Oil_seed,1700450,17.59,29908547,1740156,1737452,18.66,32416598
7,Mandalay,2017-2018,Kitchen_crop,212908,1477.96,314669825,195884,195119,1334.6,260405040
8,Mandalay,2017-2018,Vegetable,117382,2206.79,259037822,119780,119392,2478.86,295956056
9,Mandalay,2017-2018,Cotton,259313,349.12,90531719,181979,181713,381.31,69289729
10,Mandalay,2017-2018,Sugar_cane,31090,23.19,721110,33428,33426,23.02,769488
11,Mandalay,2016-2017,Paddy,785947,87.12,68474324,643999,643258,84.11,54101338
12,Mandalay,2016-2017,Wheat,26384,25.17,664038,11396,11396,24.49,279121
13,Mandalay,2016-2017,Hnamca_praung,143060,11.91,1704229,154475,154457,11.57,1786802
14,Mandalay,2016-2017,Maize,35223,60.42,2128059,34966,34669,61.27,2124238
15,Mandalay,2016-2017,Bean,1513283,12.99,19656265,1459994,1456935,12.63,18397146
16,Mandalay,2016-2017,Oil_seed,1739012,17.22,29938204,1701586,1690877,17.95,30358622
17,Mandalay,2016-2017,Kitchen_crop,205067,1359.91,278791257,185529,183106,1369.23,250714220
18,Mandalay,2016-2017,Vegetable,119027,2391.08,284603401,120488,120417,2465.09,296838994
19,Mandalay,2016-2017,Cotton,259313,350.44,90872802,176781,176608,362.88,64086835
20,Mandalay,2016-2017,Suger_cane,32000,22.17,709500,31096,31096,23.03,716255
21,Mandalay,2015-2016,Paddy,782422,85.37,66794021,543031,542452,84.15,45646057
22,Mandalay,2015-2016,Wheat,26178,25.09,656842,19890,19890,26.38,524681
23,Mandalay,2015-2016,Hnamca_praung,143806,11.91,1712384,153960,153960,11.21,1725426
24,Mandalay,2015-2016,Maize,25882,53.74,1390829,31751,31748,60.59,1923695
25,Mandalay,2015-2016,Bean,1506119,12.71,19142565,1491231,1491066,12.45,18564803
26,Mandalay,2015-2016,Oil_seed,1738941,17.35,30170552,1650181,1645396,17.46,28729366
27,Mandalay,2015-2016,Kitchen_crop,203304,1307.92,265906062,192976,192976,1526.06,294493869
28,Mandalay,2015-2016,Vegetable,117269,2046.52,239993445,119447,119447,2445.34,292088140
29,Mandalay,2014_2015,Paddy,802468,87.21,69981795,606509,604432,83.15,50256117
30,Mandalay,2014_2015,Wheat,28138,24.93,701480,20853,20853,26.38,550011
31,Mandalay,2014_2015,Hnamca_praung,143693,11.88,1707643,154075,154075,11.79,1817127
32,Mandalay,2014_2015,Maize,31509,54.35,1712522,32987,32987,61.79,2038416
33,Mandalay,2014_2015,Bean,1527499,12.63,19299810,1444176,1442491,12.3,17740162
34,Mandalay,2014_2015,Oil_seed,1795619,17.15,30789509,1589174,1573099,18.22,28669384
35,Mandalay,2014_2015,Kitchen_crop,212256,1274.04,270422124,199847,199822,1483.7,296475265
36,Mandalay,2014_2016,Vegetable,114968,1845.21,212140498,127271,127271,2378.57,302723346
