NO,REGION,DISTRICT,TOWNSHIP,TS_PCODE,YEAR,P_KINDS,MATURE,SEASON,P_ACRE,H_ACRE,Y_ACRE,Y_TIN
1,Mandalay,Mandalay,Aungmyaythazan,MMR010001,2017-2018,Emahta,Medium,Rain,0,0,0,0
2,Mandalay,Mandalay,Chanayethazan,MMR010002,2017-2018,Emahta,Medium,Rain,0,0,0,0
3,Mandalay,Mandalay,Mahaaungmyay,MMR010003,2017-2018,Emahta,Medium,Rain,0,0,0,0
4,Mandalay,Mandalay,Chanmyaythazi,MMR010004,2017-2018,Emahta,Medium,Rain,0,0,0,0
5,Mandalay,Mandalay,Pyigyitagon,MMR010005,2017-2018,Emahta,Medium,Rain,0,0,0,0
6,Mandalay,Mandalay,Amarapura,MMR010006,2017-2018,Emahta,Medium,Rain,0,0,0,0
7,Mandalay,Mandalay,Patheingyi,MMR010007,2017-2018,Emahta,Medium,Rain,0,0,0,0
8,Mandalay,Pyinoolwin,Pyinoolwin,MMR010008,2017-2018,Emahta,Medium,Rain,4391,4391,0,416857
9,Mandalay,Pyinoolwin,Madaya,MMR010009,2017-2018,Emahta,Medium,Rain,0,0,0,0
10,Mandalay,Pyinoolwin,Singu,MMR010010,2017-2018,Emahta,Medium,Rain,0,0,0,0
11,Mandalay,Pyinoolwin,Mogoke,MMR010011,2017-2018,Emahta,Medium,Rain,2412,2412,0,189697
12,Mandalay,Pyinoolwin,Thabeikkyin,MMR010012,2017-2018,Emahta,Medium,Rain,1001,1001,0,78749
13,Mandalay,Pyinoolwin,Takaung,MMR010012702,2017-2018,Emahta,Medium,Rain,394,394,0,24515
14,Mandalay,Kyaukse,Kyaukse,MMR010013,2017-2018,Emahta,Medium,Rain,0,0,0,0
15,Mandalay,Kyaukse,Sintgaing,MMR010014,2017-2018,Emahta,Medium,Rain,0,0,0,0
16,Mandalay,Kyaukse,Myittha,MMR010015,2017-2018,Emahta,Medium,Rain,0,0,0,0
17,Mandalay,Kyaukse,Tada_U,MMR010016,2017-2018,Emahta,Medium,Rain,0,0,0,0
18,Mandalay,Meiktila,Meiktila,MMR010028,2017-2018,Emahta,Medium,Rain,0,0,0,0
19,Mandalay,Meiktila,Mahlaing,MMR010029,2017-2018,Emahta,Medium,Rain,0,0,0,0
20,Mandalay,Meiktila,Thazi,MMR010030,2017-2018,Emahta,Medium,Rain,0,0,0,0
21,Mandalay,Meiktila,Wundwin,MMR010031,2017-2018,Emahta,Medium,Rain,0,0,0,0
22,Mandalay,Myingyan,Myingyan,MMR010017,2017-2018,Emahta,Medium,Rain,0,0,0,0
23,Mandalay,Myingyan,Taungtha,MMR010018,2017-2018,Emahta,Medium,Rain,0,0,0,0
24,Mandalay,Myingyan,Natogyi,MMR010019,2017-2018,Emahta,Medium,Rain,0,0,0,0
25,Mandalay,Myingyan,Ngazun,MMR010021,2017-2018,Emahta,Medium,Rain,0,0,0,0
26,Mandalay,Nyaung_U,Nyaung_U,MMR010022,2017-2018,Emahta,Medium,Rain,0,0,0,0
27,Mandalay,Nyaung_U,Kyaukpadaung,MMR010020,2017-2018,Emahta,Medium,Rain,0,0,0,0
28,Mandalay,Nyaung_U,Ngathayauk,MMR010022703,2017-2018,Emahta,Medium,Rain,0,0,0,0
29,Mandalay,Yamethin,Yamethin,MMR010023,2017-2018,Emahta,Medium,Rain,9932,9932,0,615863
30,Mandalay,Yamethin,Pyawbwe,MMR010024,2017-2018,Emahta,Medium,Rain,177,177,0,15285
31,Mandalay,Mandalay,Aungmyaythazan,MMR010001,2017-2018,Emahta,Early,Rain,0,0,0,0
32,Mandalay,Mandalay,Chanayethazan,MMR010002,2017-2018,Emahta,Early,Rain,0,0,0,0
33,Mandalay,Mandalay,Mahaaungmyay,MMR010003,2017-2018,Emahta,Early,Rain,0,0,0,0
34,Mandalay,Mandalay,Chanmyaythazi,MMR010004,2017-2018,Emahta,Early,Rain,0,0,0,0
35,Mandalay,Mandalay,Pyigyitagon,MMR010005,2017-2018,Emahta,Early,Rain,27,27,104.52,2822
36,Mandalay,Mandalay,Amarapura,MMR010006,2017-2018,Emahta,Early,Rain,11563,11563,94.46,1092255
37,Mandalay,Mandalay,Patheingyi,MMR010007,2017-2018,Emahta,Early,Rain,23591,23591,94.75,2235325
38,Mandalay,Pyinoolwin,Pyinoolwin,MMR010008,2017-2018,Emahta,Early,Rain,3083,3083,45.2,139352
39,Mandalay,Pyinoolwin,Madaya,MMR010009,2017-2018,Emahta,Early,Rain,40959,40865,93.24,3810371
40,Mandalay,Pyinoolwin,Singu,MMR010010,2017-2018,Emahta,Early,Rain,1630,1630,73.12,119183
41,Mandalay,Pyinoolwin,Mogoke,MMR010011,2017-2018,Emahta,Early,Rain,991,991,73.85,73185
42,Mandalay,Pyinoolwin,Thabeikkyin,MMR010012,2017-2018,Emahta,Early,Rain,0,0,0,0
43,Mandalay,Pyinoolwin,Takaung,MMR010012702,2017-2018,Emahta,Early,Rain,0,0,0,0
44,Mandalay,Kyaukse,Kyaukse,MMR010013,2017-2018,Emahta,Early,Rain,43270,43166,91.9,3967158
45,Mandalay,Kyaukse,Sintgaing,MMR010014,2017-2018,Emahta,Early,Rain,27322,26911,95.34,2565806
46,Mandalay,Kyaukse,Myittha,MMR010015,2017-2018,Emahta,Early,Rain,39722,39722,94.25,3743675
47,Mandalay,Kyaukse,Tada_U,MMR010016,2017-2018,Emahta,Early,Rain,6868,6836,93.89,641837
48,Mandalay,Meiktila,Meiktila,MMR010028,2017-2018,Emahta,Early,Rain,1562,1562,67.73,105798
49,Mandalay,Meiktila,Mahlaing,MMR010029,2017-2018,Emahta,Early,Rain,495,495,110.35,54622
50,Mandalay,Meiktila,Thazi,MMR010030,2017-2018,Emahta,Early,Rain,2632,2632,66.83,175897
51,Mandalay,Meiktila,Wundwin,MMR010031,2017-2018,Emahta,Early,Rain,575,575,57.67,33160
52,Mandalay,Myingyan,Myingyan,MMR010017,2017-2018,Emahta,Early,Rain,2046,1888,82.72,156183
53,Mandalay,Myingyan,Taungtha,MMR010018,2017-2018,Emahta,Early,Rain,1808,1612,88.17,142122
