NO,REGION,DISCTRIT,TOWNSHIP,TS_PCODE,YEAR,P_KINDS,P_ACRE,H_ACRE,Y_PERCENT,Y_TIN
1,Mandalay,Mandalay,Aungmyaythazan,MMR010001,2017-2018,Emahta,39,23,,2528
2,Mandalay,Mandalay,Chanayethazan,MMR010002,2017-2018,Emahta,0,0,0,0
3,Mandalay,Mandalay,Mahaaungmyay,MMR010003,2017-2018,Emahta,0,0,0,0
4,Mandalay,Mandalay,Chanmyaythazi,MMR010004,2017-2018,Emahta,0,0,0,0
5,Mandalay,Mandalay,Pyigyitagon,MMR010005,2017-2018,Emahta,40,4,73.5,294
6,Mandalay,Mandalay,Amarapura,MMR010006,2017-2018,Emahta,18292,11563,94.46,1092255
7,Mandalay,Mandalay,Patheingyi,MMR010007,2017-2018,Emahta,39544,23591,94.75,2235325
8,Mandalay,Pyinoolwin,Pyinoolwin,MMR010008,2017-2018,Emahta,3083,3083,45.2,139352
9,Mandalay,Pyinoolwin,Madaya,MMR010009,2017-2018,Emahta,77271,40865,93.24,3810371
10,Mandalay,Pyinoolwin,Singu,MMR010010,2017-2018,Emahta,5342,1630,73.12,119183
11,Mandalay,Pyinoolwin,Mogoke,MMR010011,2017-2018,Emahta,991,991,73.85,73185
12,Mandalay,Pyinoolwin,Thabeikkyin,MMR010012,2017-2018,Emahta,0,0,0,0
13,Mandalay,Pyinoolwin,Tatkaung,MMR010012702,2017-2018,Emahta,0,0,0,0
14,Mandalay,Kyaukse,Kyaukse,MMR010013,2017-2018,Emahta,49663,43166,91.9,3967158
15,Mandalay,Kyaukse,Sintgaing,MMR010014,2017-2018,Emahta,31972,26911,95.34,2565806
16,Mandalay,Kyaukse,Myittha,MMR010015,2017-2018,Emahta,46915,39722,94.25,3743675
17,Mandalay,Kyaukse,Tada_U,MMR010016,2017-2018,Emahta,8425,6836,93.89,641837
18,Mandalay,Meiktila,Meiktila,MMR010028,2017-2018,Emahta,1714,1562,,105798
19,Mandalay,Meiktila,Mahlaing,MMR010029,2017-2018,Emahta,591,495,110.35,54622
20,Mandalay,Meiktila,Thazi,MMR010030,2017-2018,Emahta,4982,1632,66.83,175897
21,Mandalay,Meiktila,Wundwin,MMR010031,2017-2018,Emahta,20504,575,57.67,33160
